property,window_days,url,query_theme,impressions,clicks,ctr_percent,avg_position,top_country,top_device,notes
google_domain,7,https://www.advaic.com/,,,0,0,0,0,,,
google_domain,28,https://www.advaic.com/,,,0,0,0,0,,,
google_domain,7,https://www.advaic.com/produkt,,,0,0,0,0,,,
google_domain,28,https://www.advaic.com/produkt,,,0,0,0,0,,,
google_domain,7,https://www.advaic.com/preise,,,0,0,0,0,,,
google_domain,28,https://www.advaic.com/preise,,,0,0,0,0,,,
google_domain,7,https://www.advaic.com/manuell-vs-advaic,,,0,0,0,0,,,
google_domain,28,https://www.advaic.com/manuell-vs-advaic,,,0,0,0,0,,,
google_domain,7,https://www.advaic.com/best-software-immobilienanfragen,,,0,0,0,0,,,
google_domain,28,https://www.advaic.com/best-software-immobilienanfragen,,,0,0,0,0,,,
bing,7,https://www.advaic.com/,,,0,0,0,0,,,
bing,28,https://www.advaic.com/,,,0,0,0,0,,,
bing,7,https://www.advaic.com/produkt,,,0,0,0,0,,,
bing,28,https://www.advaic.com/produkt,,,0,0,0,0,,,
bing,7,https://www.advaic.com/preise,,,0,0,0,0,,,
bing,28,https://www.advaic.com/preise,,,0,0,0,0,,,
